t,u,y,r
41096,308.954833984375,195.6479034423828,345.4195251464844
41112,287.6794738769531,261.9685363769531,345.4195251464844
43937,248.70291137695312,317.4683532714844,345.4195251464844
34628,148.70291137695312,363.3647766113281,345.4195251464844
45425,83.33865356445312,394.3333740234375,345.4195251464844
22363,108.77224731445312,392.5271911621094,345.4195251464844
22366,134.72293090820312,369.1406555175781,345.4195251464844
22355,155.31716918945312,351.8622741699219,345.4195251464844
22347,170.34646606445312,340.9034118652344,345.4195251464844
22336,181.15652465820312,334.67071533203125,345.4195251464844
22385,189.17117309570312,331.5041198730469,345.4195251464844
22335,195.48086547851562,330.1544189453125,345.4195251464844
22361,200.77200317382812,329.8074035644531,345.4195251464844
66650,300.77197265625,329.9817810058594,882.7071533203125
48367,400.77203369140625,330.4056701660156,882.7071533203125
72289,500.7720642089844,359.106689453125,882.7071533203125
79963,594.30615234375,415.1295471191406,882.7071533203125
41118,571.1262817382812,497.30963134765625,882.7071533203125
41114,550.7529907226562,602.3851928710938,882.7071533203125
41102,533.963134765625,694.4115600585938,882.7071533203125
41072,521.1149291992188,773.8610229492188,882.7071533203125
56077,421.11492919921875,841.55712890625,882.7071533203125
79770,338.2190856933594,898.5300903320312,882.7071533203125
41118,349.09075927734375,918.9661865234375,882.7071533203125
41094,362.3197021484375,908.880859375,882.7071533203125
41109,377.00238037109375,897.0623168945312,882.7071533203125
41122,392.451171875,884.5281982421875,882.7071533203125
43906,414.099609375,871.999755859375,882.7071533203125
22373,452.994140625,859.967041015625,882.7071533203125
22360,475.6171875,850.500244140625,882.7071533203125
22346,491.01513671875,848.8494262695312,882.7071533203125
22354,503.412109375,850.1429443359375,882.7071533203125
22349,514.6650390625,852.280517578125,882.7071533203125
66627,414.6651611328125,854.4545288085938,-416.3801574707031
48327,314.66510009765625,856.423828125,-416.3801574707031
48384,214.66505432128906,825.4052124023438,-416.3801574707031
48382,114.66500854492188,762.6506958007812,-416.3801574707031
72320,14.664962768554688,669.6472778320312,-416.3801574707031
42783,-85.33504486083984,548.088623046875,-416.3801574707031
80297,-70.0688705444336,399.8467102050781,-416.3801574707031
41121,-20.937156677246094,226.94334411621094,-416.3801574707031
41114,20.84253692626953,65.59320068359375,-416.3801574707031
41096,54.834190368652344,-73.15345001220703,-416.3801574707031
41082,81.08797454833984,-190.96408081054688,-416.3801574707031
41124,99.98258972167969,-289.81231689453125,-416.3801574707031
56098,199.9825897216797,-371.8014221191406,-416.3801574707031
79928,287.4503479003906,-439.0387268066406,-416.3801574707031
41172,275.89422607421875,-467.57415771484375,-416.3801574707031
41141,260.63189697265625,-462.119384765625,-416.3801574707031
41156,242.90383911132812,-453.1289367675781,-416.3801574707031
41124,223.67373657226562,-442.103515625,-416.3801574707031
41106,203.6774139404297,-430.1453552246094,-416.3801574707031
41101,183.46524047851562,-418.0407409667969,-416.3801574707031
77177,283.4652404785156,-406.3284912109375,-191.34165954589844
80261,268.560791015625,-395.3570861816406,-191.34165954589844
41131,240.482177734375,-349.8523254394531,-191.34165954589844
41106,214.0159454345703,-305.2613525390625,-191.34165954589844
41146,189.53424072265625,-266.0020751953125,-191.34165954589844
41091,167.2178955078125,-231.94041442871094,-191.34165954589844
41108,147.1099395751953,-202.77410888671875,-191.34165954589844
43912,110.45564270019531,-178.09825134277344,-191.34165954589844
22311,46.17146301269531,-157.45428466796875,-191.34165954589844
22288,27.024978637695312,-145.89356994628906,-191.34165954589844
22332,23.219070434570312,-151.52178955078125,-191.34165954589844
21613,22.741409301757812,-160.5645751953125,-191.34165954589844
22287,21.514602661132812,-168.3865203857422,-191.34165954589844
22312,18.697952270507812,-174.03598022460938,-191.34165954589844
22339,14.521926879882812,-177.81076049804688,-191.34165954589844
22319,9.448928833007812,-180.26527404785156,-191.34165954589844
22314,3.8920440673828125,-181.88172912597656,-191.34165954589844
22347,-1.8665008544921875,-182.99887084960938,-191.34165954589844
22305,-7.6567840576171875,-183.8271942138672,-191.34165954589844
22315,-13.373336791992188,-184.48898315429688,-191.34165954589844
34477,86.62666320800781,-185.052734375,-18.04831886291504
